{'loss': 0.5432, 'grad_norm': 24.35965347290039, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3278, 'grad_norm': 22.370956420898438, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5271, 'grad_norm': 22.52511978149414, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4651, 'grad_norm': 23.237226486206055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3693, 'grad_norm': 17.82533073425293, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4729, 'grad_norm': 28.712343215942383, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2802, 'grad_norm': 37.521366119384766, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3124, 'grad_norm': 17.236825942993164, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5183, 'grad_norm': 22.52413558959961, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2398, 'grad_norm': 13.12674331665039, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5629, 'grad_norm': 24.596155166625977, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5105, 'grad_norm': 31.07660484313965, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1816, 'grad_norm': 11.348126411437988, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1479, 'grad_norm': 13.81567096710205, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1596, 'grad_norm': 10.544281005859375, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.216, 'grad_norm': 23.578535079956055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1409, 'grad_norm': 8.840987205505371, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2919, 'grad_norm': 35.83428955078125, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1736, 'grad_norm': 11.9083890914917, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3706, 'grad_norm': 22.392436981201172, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3899, 'grad_norm': 32.92295455932617, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.0501, 'grad_norm': 5.736549377441406, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3025, 'grad_norm': 14.987643241882324, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.214, 'grad_norm': 19.524438858032227, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2379, 'grad_norm': 14.095293998718262, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5266, 'grad_norm': 31.75873565673828, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1615, 'grad_norm': 17.489421844482422, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.485, 'grad_norm': 33.88029861450195, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2228, 'grad_norm': 13.78043270111084, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4656, 'grad_norm': 21.602949142456055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6609, 'grad_norm': 31.345792770385742, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2601, 'grad_norm': 17.664047241210938, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.8673, 'grad_norm': 53.442588806152344, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2134, 'grad_norm': 22.031911849975586, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2791, 'grad_norm': 21.08568000793457, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1546, 'grad_norm': 9.524818420410156, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2549, 'grad_norm': 22.101051330566406, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1559, 'grad_norm': 11.062260627746582, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4316, 'grad_norm': 26.930496215820312, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2932, 'grad_norm': 22.89009666442871, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5518, 'grad_norm': 33.83583450317383, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2795, 'grad_norm': 13.720040321350098, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6202, 'grad_norm': 25.922243118286133, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2455, 'grad_norm': 27.55077362060547, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5603, 'grad_norm': 24.77758026123047, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1606, 'grad_norm': 15.46402645111084, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.0159, 'grad_norm': 3.2054922580718994, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3264, 'grad_norm': 20.630722045898438, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2461, 'grad_norm': 13.835017204284668, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2449, 'grad_norm': 15.874227523803711, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1843, 'grad_norm': 16.030532836914062, 'learning_rate': 1e-06, 'epoch': 0.01}
