{'loss': 0.2412, 'grad_norm': 10.092639923095703, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.7865, 'grad_norm': 29.511459350585938, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.7123, 'grad_norm': 26.242740631103516, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2849, 'grad_norm': 24.91644287109375, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2096, 'grad_norm': 11.66390609741211, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3372, 'grad_norm': 18.254671096801758, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.148, 'grad_norm': 21.766551971435547, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.448, 'grad_norm': 30.924203872680664, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2647, 'grad_norm': 23.0718936920166, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2639, 'grad_norm': 35.940284729003906, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1563, 'grad_norm': 19.895986557006836, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3688, 'grad_norm': 15.274434089660645, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4414, 'grad_norm': 32.31407928466797, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4012, 'grad_norm': 22.957313537597656, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3674, 'grad_norm': 30.26458740234375, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1789, 'grad_norm': 8.629155158996582, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1838, 'grad_norm': 10.342193603515625, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6973, 'grad_norm': 36.690799713134766, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2497, 'grad_norm': 15.896709442138672, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2629, 'grad_norm': 19.83576202392578, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2773, 'grad_norm': 18.262466430664062, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0177, 'grad_norm': 1.6257067918777466, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6336, 'grad_norm': 39.937400817871094, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.225, 'grad_norm': 13.841595649719238, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.287, 'grad_norm': 21.66084098815918, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3376, 'grad_norm': 17.141956329345703, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6481, 'grad_norm': 27.54521942138672, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4646, 'grad_norm': 25.740615844726562, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6098, 'grad_norm': 34.09367752075195, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3102, 'grad_norm': 15.082067489624023, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.214, 'grad_norm': 13.71739673614502, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1651, 'grad_norm': 16.084928512573242, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5606, 'grad_norm': 47.13591766357422, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1829, 'grad_norm': 14.508220672607422, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1532, 'grad_norm': 13.168074607849121, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0882, 'grad_norm': 12.065231323242188, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6816, 'grad_norm': 50.00663375854492, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3483, 'grad_norm': 27.417421340942383, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3307, 'grad_norm': 16.801090240478516, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4796, 'grad_norm': 47.728736877441406, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.161, 'grad_norm': 14.681215286254883, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5022, 'grad_norm': 18.531810760498047, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3532, 'grad_norm': 13.352767944335938, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5014, 'grad_norm': 24.470232009887695, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2299, 'grad_norm': 11.76895523071289, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3556, 'grad_norm': 25.289817810058594, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6204, 'grad_norm': 41.51900100708008, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3086, 'grad_norm': 22.53005027770996, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4275, 'grad_norm': 40.449790954589844, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4801, 'grad_norm': 29.373981475830078, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2519, 'grad_norm': 20.899873733520508, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0878, 'grad_norm': 5.012754917144775, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4835, 'grad_norm': 20.700439453125, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1277, 'grad_norm': 14.623983383178711, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5312, 'grad_norm': 47.15780258178711, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1798, 'grad_norm': 11.765190124511719, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2371, 'grad_norm': 15.369471549987793, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1194, 'grad_norm': 12.583291053771973, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1761, 'grad_norm': 17.682594299316406, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3252, 'grad_norm': 23.849252700805664, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1972, 'grad_norm': 11.200532913208008, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1905, 'grad_norm': 16.03993034362793, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0244, 'grad_norm': 3.2811999320983887, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.39, 'grad_norm': 16.464231491088867, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2467, 'grad_norm': 22.065948486328125, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3761, 'grad_norm': 44.45805740356445, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3743, 'grad_norm': 19.450908660888672, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.312, 'grad_norm': 13.488251686096191, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4962, 'grad_norm': 21.678735733032227, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2376, 'grad_norm': 23.41912078857422, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1947, 'grad_norm': 22.539052963256836, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2104, 'grad_norm': 22.24394416809082, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.195, 'grad_norm': 23.247093200683594, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1223, 'grad_norm': 6.808937072753906, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0946, 'grad_norm': 9.770792007446289, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1107, 'grad_norm': 14.921834945678711, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4238, 'grad_norm': 30.949819564819336, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1869, 'grad_norm': 14.970932006835938, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1865, 'grad_norm': 11.673812866210938, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2079, 'grad_norm': 14.515178680419922, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0554, 'grad_norm': 6.624580383300781, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3553, 'grad_norm': 18.762462615966797, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0773, 'grad_norm': 24.59893226623535, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4017, 'grad_norm': 24.85297393798828, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2531, 'grad_norm': 14.038969993591309, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6523, 'grad_norm': 38.25442123413086, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2951, 'grad_norm': 18.09107208251953, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1395, 'grad_norm': 9.187865257263184, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1008, 'grad_norm': 17.439651489257812, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1648, 'grad_norm': 20.40630340576172, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2911, 'grad_norm': 15.050347328186035, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4035, 'grad_norm': 22.340957641601562, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1695, 'grad_norm': 15.736477851867676, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.165, 'grad_norm': 15.159173965454102, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2795, 'grad_norm': 29.6619873046875, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.29, 'grad_norm': 19.27068519592285, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.0883, 'grad_norm': 4.927061080932617, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3788, 'grad_norm': 14.14285945892334, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1446, 'grad_norm': 12.477062225341797, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.4715, 'grad_norm': 21.04310417175293, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3854, 'grad_norm': 17.315959930419922, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2312, 'grad_norm': 14.553339004516602, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.395, 'grad_norm': 32.95694351196289, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3005, 'grad_norm': 26.886262893676758, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.7232, 'grad_norm': 39.35300064086914, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1106, 'grad_norm': 9.365447998046875, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.758, 'grad_norm': 32.48930740356445, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.477, 'grad_norm': 36.185569763183594, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1037, 'grad_norm': 6.525645732879639, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.6283, 'grad_norm': 27.148611068725586, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1842, 'grad_norm': 13.03834056854248, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2321, 'grad_norm': 13.699810028076172, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2118, 'grad_norm': 13.434103012084961, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2279, 'grad_norm': 10.744972229003906, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.51, 'grad_norm': 33.01356887817383, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1842, 'grad_norm': 15.35517406463623, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.4135, 'grad_norm': 25.819164276123047, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.077, 'grad_norm': 7.389557361602783, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.0797, 'grad_norm': 10.195428848266602, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.612, 'grad_norm': 20.348468780517578, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2326, 'grad_norm': 17.414228439331055, 'learning_rate': 1e-06, 'epoch': 0.03}
